Satellite,Date,Location,NDVI,SMI,Avg_rainfall
MODIS,01/01/19,Anantapur,0.42257336189347555,0.7461959266416627,0
Landsat,01/01/19,Anantapur,0.42257336189347555,0.7461959266416627,0.9999999999999999
Sentinel-2,01/01/19,Anantapur,0.42257336189347555,0.7461959266416627,0.11676949336830915
SMAP,01/01/19,Anantapur,0.42257336189347555,0.7461959266416627,0.9999999999999999
AMSR-E,01/01/19,Anantapur,0.42257336189347555,0.7461959266416627,0.5758793534782776
AMSR-E,01/02/19,Anantapur,0.5121034571440426,0.8348171493529126,0.29682568664504116
SMAP,01/02/19,Anantapur,0.5121034571440426,0.8348171493529126,0.9999999999999999
Sentinel-2,01/02/19,Anantapur,0.5121034571440426,0.8348171493529126,0.9999999999999999
Landsat,01/02/19,Anantapur,0.5121034571440426,0.8348171493529126,0.9999999999999999
MODIS,01/02/19,Anantapur,0.5121034571440426,0.8348171493529126,0
AMSR-E,01/03/19,Anantapur,0.049488344,0.008394578,0.012776258072813313
SMAP,01/03/19,Anantapur,0.049488344,0.008394578,0.012776258072813313
Sentinel-2,01/03/19,Anantapur,0.049488344,0.008394578,0.9999999999999999
Landsat,01/03/19,Anantapur,0.049488344,0.008394578,0.012776258072813313
MODIS,01/03/19,Anantapur,0.049488344,0.008394578,0.11676949336830915
MODIS,01/04/19,Anantapur,0.45940870614007767,0.7798859689913183,0
Sentinel-2,01/04/19,Anantapur,0.45940870614007767,0.7798859689913183,0.9999999999999999
Landsat,01/04/19,Anantapur,0.45940870614007767,0.7798859689913183,0.9999999999999999
SMAP,01/04/19,Anantapur,0.45940870614007767,0.7798859689913183,0.5758793534782776
AMSR-E,01/04/19,Anantapur,0.45940870614007767,0.7798859689913183,0.9999999999999999
MODIS,01/05/19,Anantapur,0.2778188426143363,0.4635062329413078,0.012776258072813313
Sentinel-2,01/05/19,Anantapur,0.2778188426143363,0.4635062329413078,0.012776258072813313
Landsat,01/05/19,Anantapur,0.2778188426143363,0.4635062329413078,0.012776258072813313
SMAP,01/05/19,Anantapur,0.2778188426143363,0.4635062329413078,0.012776258072813313
AMSR-E,01/05/19,Anantapur,0.2778188426143363,0.4635062329413078,0.012776258072813313
AMSR-E,01/06/19,Anantapur,0.16816468226678372,0.23242088689644624,0.012776258072813313
SMAP,01/06/19,Anantapur,0.16816468226678372,0.23242088689644624,0.012776258072813313
Landsat,01/06/19,Anantapur,0.16816468226678372,0.23242088689644624,0.012776258072813313
Sentinel-2,01/06/19,Anantapur,0.16816468226678372,0.23242088689644624,0.012776258072813313
MODIS,01/06/19,Anantapur,0.16816468226678372,0.23242088689644624,0.11676949336830915
AMSR-E,01/07/19,Anantapur,0.2865745079055736,0.4812561129259955,0.11676949336830915
SMAP,01/07/19,Anantapur,0.2865745079055736,0.4812561129259955,0.9999999999999999
Landsat,01/07/19,Anantapur,0.2865745079055736,0.4812561129259955,0.5758793534782776
Sentinel-2,01/07/19,Anantapur,0.2865745079055736,0.4812561129259955,0.9999999999999999
MODIS,01/07/19,Anantapur,0.2865745079055736,0.4812561129259955,0
AMSR-E,01/08/19,Anantapur,0.24672132155225876,0.39782449806844944,0
SMAP,01/08/19,Anantapur,0.24672132155225876,0.39782449806844944,0
Sentinel-2,01/08/19,Anantapur,0.24672132155225876,0.39782449806844944,0.9999999999999999
Landsat,01/08/19,Anantapur,0.24672132155225876,0.39782449806844944,0.012776258072813313
MODIS,01/08/19,Anantapur,0.24672132155225876,0.39782449806844944,0.9999999999999999
AMSR-E,01/09/19,Anantapur,0.26352200878923454,0.43353696751077786,0.11676949336830915
SMAP,01/09/19,Anantapur,0.26352200878923454,0.43353696751077786,0.11676949336830915
Sentinel-2,01/09/19,Anantapur,0.26352200878923454,0.43353696751077786,0.11676949336830915
Landsat,01/09/19,Anantapur,0.26352200878923454,0.43353696751077786,0.11676949336830915
MODIS,01/09/19,Anantapur,0.26352200878923454,0.43353696751077786,0.012776258072813313
SMAP,01/10/19,Anantapur,0.09948663,0.10205626260760424,0.29682568664504116
