Satellite,Date,Location,NDVI,SMI
MODIS,01/08/22,Palakkad,48.99391603,90.01292014
Sentinel-2,01/10/24,Ramanathapuram,51.52274609,96.55520797
Sentinel-2,01/07/23,Chitradurga,49.36004496,91.13109779
Landsat,01/12/21,Kurnool,51.41155362,96.07959747
SMAP,01/09/22,Dharmapuri,20.15368438,18.25534368
AMSR-E,01/03/23,Ramanathapuram,70.94094014,143.5544212
Sentinel-2,01/12/19,Chitradurga,126.7774615,254.9896722
MODIS,01/05/23,Palakkad,45.06795716,80.32239294
MODIS,01/08/23,Sivaganga,35.18678188,55.65948987
SMAP,01/02/21,Koppal,81.63514495,168.9184477
AMSR-E,01/05/23,Kurnool,23.62000489,26.766855
Landsat,01/08/23,Mahbubnagar,97.63313246,209.3815174
MODIS,01/11/21,Vijayapura,16.74229002,11.07646632
SMAP,01/09/21,Chitradurga,67.61306667,136.7045133
SMAP,01/07/21,Ramanathapuram,50.18460584,92.30424333
MODIS,01/01/19,Raichur,22.10652733,42.71209979
SMAP,01/05/22,Anantapur,97.84209776,203.191514
AMSR-E,01/06/23,Koppal,51.11616516,95.51242685
MODIS,01/11/23,Chitradurga,12.49468064,3.515169382
Landsat,01/08/20,Kurnool,62.5821259,123.3042269
Sentinel-2,01/07/21,Ramanathapuram,50.18460584,92.30424333
MODIS,01/02/22,Idukki,6.073626757,0.312055588
Landsat,01/02/20,Idukki,41.20557833,80.50947642
Sentinel-2,01/08/24,Dharmapuri,140.7002983,253.1052129
AMSR-E,01/03/23,Dharmapuri,70.03488159,142.3349848
MODIS,01/04/19,Chitradurga,64.78815961,129.4449408
MODIS,01/06/22,Raichur,44.38299251,78.88595128
Landsat,01/06/22,Anantapur,24.43438268,28.74650526
Landsat,01/01/24,Vijayapura,138.7950454,234.4313996
Sentinel-2,01/07/21,Vijayapura,23.3507688,26.00652027
AMSR-E,01/04/23,Sivaganga,29.82724452,42.29630733
Landsat,01/08/24,Kadapa,130.8312094,221.0256386
Landsat,01/11/24,Raichur,24.70614266,29.48224449
Landsat,01/05/19,Idukki,65.60831928,131.6101432
Landsat,01/04/24,Koppal,15.4581387,8.475963593
Landsat,01/12/20,Chitradurga,101.9846206,216.269984
SMAP,01/10/24,Ramanathapuram,51.52274609,96.55520797
