Satellite,Date,Location,NDVI,SMI,Avg_rainfall
MODIS,2019-01-01,Anantapur,91.47629189,190.2872243,0.002212796
Landsat,2019-01-01,Anantapur,91.47629189,190.2872243,2.731906013
Sentinel-2,2019-01-01,Anantapur,91.47629189,190.2872243,0.32095769
SMAP,2019-01-01,Anantapur,91.47629189,190.2872243,2.731906013
AMSR-E,2019-01-01,Anantapur,91.47629189,190.2872243,1.574186761
AMSR-E,2019-02-01,Anantapur,110.7928557,212.8824632,1.574186761
SMAP,2019-02-01,Anantapur,110.7928557,212.8824632,2.731906013
Sentinel-2,2019-02-01,Anantapur,110.7928557,212.8824632,2.731906013
Landsat,2019-02-01,Anantapur,110.7928557,212.8824632,2.731906013
MODIS,2019-02-01,Anantapur,110.7928557,212.8824632,0.002212796
AMSR-E,2019-03-01,Anantapur,10.98134184,2.174295902,0.037088061
SMAP,2019-03-01,Anantapur,10.98134184,2.174295902,0.037088061
Sentinel-2,2019-03-01,Anantapur,10.98134184,2.174295902,2.731906013
Landsat,2019-03-01,Anantapur,10.98134184,2.174295902,0.037088061
MODIS,2019-03-01,Anantapur,10.98134184,2.174295902,0.32095769
MODIS,2019-04-01,Anantapur,99.42370081,198.8769789,0.002212796
Sentinel-2,2019-04-01,Anantapur,99.42370081,198.8769789,2.731906013
Landsat,2019-04-01,Anantapur,99.42370081,198.8769789,2.731906013
SMAP,2019-04-01,Anantapur,99.42370081,198.8769789,1.574186761
AMSR-E,2019-04-01,Anantapur,99.42370081,198.8769789,2.731906013
MODIS,2019-05-01,Anantapur,60.24478364,118.2114735,0.037088061
Sentinel-2,2019-05-01,Anantapur,60.24478364,118.2114735,0.037088061
Landsat,2019-05-01,Anantapur,60.24478364,118.2114735,0.037088061
SMAP,2019-05-01,Anantapur,60.24478364,118.2114735,0.037088061
AMSR-E,2019-05-01,Anantapur,60.24478364,118.2114735,0.037088061
AMSR-E,2019-06-01,Anantapur,36.58635259,59.29298377,0.037088061
SMAP,2019-06-01,Anantapur,36.58635259,59.29298377,0.037088061
Landsat,2019-06-01,Anantapur,36.58635259,59.29298377,0.037088061
Sentinel-2,2019-06-01,Anantapur,36.58635259,59.29298377,0.037088061
MODIS,2019-06-01,Anantapur,36.58635259,59.29298377,0.32095769
AMSR-E,2019-07-01,Anantapur,62.13386202,122.7370574,0.32095769
SMAP,2019-07-01,Anantapur,62.13386202,122.7370574,2.731906013
Landsat,2019-07-01,Anantapur,62.13386202,122.7370574,1.574186761
Sentinel-2,2019-07-01,Anantapur,62.13386202,122.7370574,2.731906013
MODIS,2019-07-01,Anantapur,62.13386202,122.7370574,0.002212796
AMSR-E,2019-08-01,Anantapur,53.53533864,101.4649827,0.002212796
SMAP,2019-08-01,Anantapur,53.53533864,101.4649827,0.002212796
Sentinel-2,2019-08-01,Anantapur,53.53533864,101.4649827,2.731906013
Landsat,2019-08-01,Anantapur,53.53533864,101.4649827,0.037088061
MODIS,2019-08-01,Anantapur,53.53533864,101.4649827,2.731906013
AMSR-E,2019-09-01,Anantapur,57.16017056,110.5703838,0.32095769
SMAP,2019-09-01,Anantapur,57.16017056,110.5703838,0.32095769
Sentinel-2,2019-09-01,Anantapur,57.16017056,110.5703838,0.32095769
Landsat,2019-09-01,Anantapur,57.16017056,110.5703838,0.32095769
MODIS,2019-09-01,Anantapur,57.16017056,110.5703838,0.037088061
SMAP,2019-10-01,Anantapur,21.76872087,26.054672,0.037088061
AMSR-E,2019-10-01,Anantapur,21.76872087,26.054672,0.32095769
MODIS,2019-10-01,Anantapur,21.76872087,26.054672,0.037088061
Landsat,2019-10-01,Anantapur,21.76872087,26.054672,1.574186761
Sentinel-2,2019-10-01,Anantapur,21.76872087,26.054672,1.574186761
SMAP,2019-11-01,Anantapur,36.61460495,59.17160225,0.037088061
AMSR-E,2019-11-01,Anantapur,36.61460495,59.17160225,0.037088061
MODIS,2019-11-01,Anantapur,36.61460495,59.17160225,2.731906013
Landsat,2019-11-01,Anantapur,36.61460495,59.17160225,0.037088061
Sentinel-2,2019-11-01,Anantapur,36.61460495,59.17160225,0.037088061
Sentinel-2,2019-12-01,Anantapur,43.72918057,76.75118709,0.037088061
