Satellite,Date,Location,NDVI,SMI,Avg_rainfall
MODIS,01/01/19,Anantapur,0.4225733618934755,0.7461959266416627,0.0
Landsat,01/01/19,Anantapur,0.4225733618934755,0.7461959266416627,1.0
Sentinel-2,01/01/19,Anantapur,0.4225733618934755,0.7461959266416627,0.1167694933683091
SMAP,01/01/19,Anantapur,0.4225733618934755,0.7461959266416627,1.0
AMSR-E,01/01/19,Anantapur,0.4225733618934755,0.7461959266416627,0.5758793534782776
AMSR-E,01/02/19,Anantapur,0.5121034571440426,0.8348171493529126,0.2968256866450411
SMAP,01/02/19,Anantapur,0.5121034571440426,0.8348171493529126,1.0
Sentinel-2,01/02/19,Anantapur,0.5121034571440426,0.8348171493529126,1.0
Landsat,01/02/19,Anantapur,0.5121034571440426,0.8348171493529126,1.0
MODIS,01/02/19,Anantapur,0.5121034571440426,0.8348171493529126,0.0
AMSR-E,01/03/19,Anantapur,0.049488344,0.008394578,0.0127762580728133
SMAP,01/03/19,Anantapur,0.049488344,0.008394578,0.0127762580728133
Sentinel-2,01/03/19,Anantapur,0.049488344,0.008394578,1.0
Landsat,01/03/19,Anantapur,0.049488344,0.008394578,0.0127762580728133
MODIS,01/03/19,Anantapur,0.049488344,0.008394578,0.1167694933683091
MODIS,01/04/19,Anantapur,0.4594087061400776,0.7798859689913183,0.0
Sentinel-2,01/04/19,Anantapur,0.4594087061400776,0.7798859689913183,1.0
Landsat,01/04/19,Anantapur,0.4594087061400776,0.7798859689913183,1.0
SMAP,01/04/19,Anantapur,0.4594087061400776,0.7798859689913183,0.5758793534782776
AMSR-E,01/04/19,Anantapur,0.4594087061400776,0.7798859689913183,1.0
MODIS,01/05/19,Anantapur,0.2778188426143363,0.4635062329413078,0.0127762580728133
Sentinel-2,01/05/19,Anantapur,0.2778188426143363,0.4635062329413078,0.0127762580728133
Landsat,01/05/19,Anantapur,0.2778188426143363,0.4635062329413078,0.0127762580728133
SMAP,01/05/19,Anantapur,0.2778188426143363,0.4635062329413078,0.0127762580728133
AMSR-E,01/05/19,Anantapur,0.2778188426143363,0.4635062329413078,0.0127762580728133
AMSR-E,01/06/19,Anantapur,0.1681646822667837,0.2324208868964462,0.0127762580728133
SMAP,01/06/19,Anantapur,0.1681646822667837,0.2324208868964462,0.0127762580728133
Landsat,01/06/19,Anantapur,0.1681646822667837,0.2324208868964462,0.0127762580728133
Sentinel-2,01/06/19,Anantapur,0.1681646822667837,0.2324208868964462,0.0127762580728133
MODIS,01/06/19,Anantapur,0.1681646822667837,0.2324208868964462,0.1167694933683091
AMSR-E,01/07/19,Anantapur,0.2865745079055736,0.4812561129259955,0.1167694933683091
SMAP,01/07/19,Anantapur,0.2865745079055736,0.4812561129259955,1.0
Landsat,01/07/19,Anantapur,0.2865745079055736,0.4812561129259955,0.5758793534782776
Sentinel-2,01/07/19,Anantapur,0.2865745079055736,0.4812561129259955,1.0
MODIS,01/07/19,Anantapur,0.2865745079055736,0.4812561129259955,0.0
AMSR-E,01/08/19,Anantapur,0.2467213215522587,0.3978244980684494,0.0
SMAP,01/08/19,Anantapur,0.2467213215522587,0.3978244980684494,0.0
Sentinel-2,01/08/19,Anantapur,0.2467213215522587,0.3978244980684494,1.0
Landsat,01/08/19,Anantapur,0.2467213215522587,0.3978244980684494,0.0127762580728133
MODIS,01/08/19,Anantapur,0.2467213215522587,0.3978244980684494,1.0
AMSR-E,01/09/19,Anantapur,0.2635220087892345,0.4335369675107778,0.1167694933683091
SMAP,01/09/19,Anantapur,0.2635220087892345,0.4335369675107778,0.1167694933683091
Sentinel-2,01/09/19,Anantapur,0.2635220087892345,0.4335369675107778,0.1167694933683091
Landsat,01/09/19,Anantapur,0.2635220087892345,0.4335369675107778,0.1167694933683091
MODIS,01/09/19,Anantapur,0.2635220087892345,0.4335369675107778,0.0127762580728133
SMAP,01/10/19,Anantapur,0.09948663,0.1020562626076042,0.2968256866450411
AMSR-E,01/10/19,Anantapur,0.09948663,0.1020562626076042,0.1167694933683091
MODIS,01/10/19,Anantapur,0.09948663,0.1020562626076042,0.0127762580728133
Landsat,01/10/19,Anantapur,0.09948663,0.1020562626076042,0.5758793534782776
Sentinel-2,01/10/19,Anantapur,0.09948663,0.1020562626076042,0.5758793534782776
SMAP,01/11/19,Anantapur,0.1682956287698333,0.231944814,0.0127762580728133
AMSR-E,01/11/19,Anantapur,0.1682956287698333,0.231944814,0.0127762580728133
MODIS,01/11/19,Anantapur,0.1682956287698333,0.231944814,1.0
Landsat,01/11/19,Anantapur,0.1682956287698333,0.231944814,0.0127762580728133
Sentinel-2,01/11/19,Anantapur,0.1682956287698333,0.231944814,0.0127762580728133
Sentinel-2,01/12/19,Anantapur,0.2012708845757447,0.3008940431842517,0.0127762580728133
Landsat,01/12/19,Anantapur,0.2012708845757447,0.3008940431842517,0.0127762580728133
MODIS,01/12/19,Anantapur,0.2012708845757447,0.3008940431842517,0.1167694933683091
AMSR-E,01/12/19,Anantapur,0.2012708845757447,0.3008940431842517,1.0
SMAP,01/12/19,Anantapur,0.2012708845757447,0.3008940431842517,0.0127762580728133
MODIS,01/01/20,Anantapur,0.395164241,0.6894257692581145,0.1167694933683091
Sentinel-2,01/01/20,Anantapur,0.395164241,0.6894257692581145,0.0127762580728133
Landsat,01/01/20,Anantapur,0.395164241,0.6894257692581145,0.0127762580728133
SMAP,01/01/20,Anantapur,0.395164241,0.6894257692581145,1.0
AMSR-E,01/01/20,Anantapur,0.395164241,0.6894257692581145,0.0127762580728133
AMSR-E,01/02/20,Anantapur,0.092285305,0.077486638,0.0127762580728133
SMAP,01/02/20,Anantapur,0.092285305,0.077486638,0.0127762580728133
Landsat,01/02/20,Anantapur,0.092285305,0.077486638,1.0
Sentinel-2,01/02/20,Anantapur,0.092285305,0.077486638,0.0127762580728133
MODIS,01/02/20,Anantapur,0.092285305,0.077486638,0.1167694933683091
AMSR-E,01/03/20,Anantapur,0.4673571738829512,0.8120942833014818,0.2968256866450411
SMAP,01/03/20,Anantapur,0.4673571738829512,0.8120942833014818,0.0127762580728133
Landsat,01/03/20,Anantapur,0.4673571738829512,0.8120942833014818,1.0
Sentinel-2,01/03/20,Anantapur,0.4673571738829512,0.8120942833014818,1.0
MODIS,01/03/20,Anantapur,0.4673571738829512,0.8120942833014818,0.0
MODIS,01/04/20,Anantapur,0.1965732574097037,0.2922915466595534,0.0127762580728133
Landsat,01/04/20,Anantapur,0.1965732574097037,0.2922915466595534,0.0127762580728133
Sentinel-2,01/04/20,Anantapur,0.1965732574097037,0.2922915466595534,0.0127762580728133
SMAP,01/04/20,Anantapur,0.1965732574097037,0.2922915466595534,0.0127762580728133
AMSR-E,01/04/20,Anantapur,0.1965732574097037,0.2922915466595534,0.0127762580728133
MODIS,01/05/20,Anantapur,0.3672750835785149,0.6483513418812109,0.0
Landsat,01/05/20,Anantapur,0.3672750835785149,0.6483513418812109,1.0
