State,District,Date,Year,Month,Avg_rainfall,Agency_name
Andhra Pradesh,Anantapur,01/04/23,2023,4,0.002212796,IMD GRID MODEL
Andhra Pradesh,Anantapur,02/04/23,2023,4,,IMD GRID MODEL
Andhra Pradesh,Anantapur,03/04/23,2023,4,,IMD GRID MODEL
Andhra Pradesh,Anantapur,04/04/23,2023,4,,IMD GRID MODEL
Andhra Pradesh,Anantapur,05/04/23,2023,4,0.269464241,IMD GRID MODEL
Andhra Pradesh,Anantapur,06/04/23,2023,4,,IMD GRID MODEL
Andhra Pradesh,Anantapur,07/04/23,2023,4,0.065407142,IMD GRID MODEL
Andhra Pradesh,Anantapur,08/04/23,2023,4,,IMD GRID MODEL
Andhra Pradesh,Anantapur,09/04/23,2023,4,,IMD GRID MODEL
Andhra Pradesh,Anantapur,10/04/23,2023,4,,IMD GRID MODEL
Andhra Pradesh,Anantapur,11/04/23,2023,4,,IMD GRID MODEL
Andhra Pradesh,Anantapur,12/04/23,2023,4,,IMD GRID MODEL
Andhra Pradesh,Anantapur,13/04/23,2023,4,,IMD GRID MODEL
Andhra Pradesh,Anantapur,14/04/23,2023,4,,IMD GRID MODEL
Andhra Pradesh,Anantapur,15/04/23,2023,4,,IMD GRID MODEL
Andhra Pradesh,Anantapur,16/04/23,2023,4,,IMD GRID MODEL
Andhra Pradesh,Anantapur,17/04/23,2023,4,0.001224847,IMD GRID MODEL
Andhra Pradesh,Anantapur,18/04/23,2023,4,,IMD GRID MODEL
Andhra Pradesh,Anantapur,19/04/23,2023,4,,IMD GRID MODEL
Andhra Pradesh,Anantapur,20/04/23,2023,4,,IMD GRID MODEL
Andhra Pradesh,Anantapur,21/04/23,2023,4,,IMD GRID MODEL
Andhra Pradesh,Anantapur,22/04/23,2023,4,3.05542572,IMD GRID MODEL
Andhra Pradesh,Anantapur,23/04/23,2023,4,1.742428386,IMD GRID MODEL
Andhra Pradesh,Anantapur,24/04/23,2023,4,,IMD GRID MODEL
Andhra Pradesh,Anantapur,25/04/23,2023,4,0.586479152,IMD GRID MODEL
Andhra Pradesh,Anantapur,26/04/23,2023,4,2.388825338,IMD GRID MODEL
Andhra Pradesh,Anantapur,27/04/23,2023,4,1.255768133,IMD GRID MODEL
